"","fund_name","fund_extended_name","category","fund_family","net_assets","ytd_return","fund_yield","morningstar_rating","inception_date","investment","size","currency","net_annual_expense_ratio_fund","net_annual_expense_ratio_category","portfolio_cash","portfolio_stocks","portfolio_bonds","portfolio_others","portfolio_preferred","portfolio_convertable","price_earnings","price_book","price_sales","price_cashflow","median_market_cap","basic_materials","consumer_cyclical","financial_services","real_estate","consumer_defensive","healthcare","utilities","communication_services","energy","industrials","technology","bond_maturity","bond_duration","rating_us_government","rating_aaa","rating_aa","rating_a","rating_bbb","rating_bb","rating_b","rating_below_b","rating_others","morningstar_return_rating","fund_return_ytd","category_return_ytd","fund_return_1month","category_return_1month","fund_return_3months","category_return_3months","fund_return_1year","category_return_1year","fund_return_3years","category_return_3years","fund_return_5years","category_return_5years","fund_return_10years","category_return_10years","fund_return_2018","category_return_2018","fund_return_2017","category_return_2017","fund_return_2016","category_return_2016","fund_return_2015","category_return_2015","fund_return_2014","category_return_2014","fund_return_2013","category_return_2013","fund_return_2012","category_return_2012","fund_return_2011","category_return_2011","fund_return_2010","category_return_2010","morningstar_risk_rating","years_up","years_down","fund_alpha_3years","category_alpha_3years","fund_alpha_5years","category_alpha_5years","fund_alpha_10years","category_alpha_10years","fund_beta_3years","category_beta_3years","fund_beta_5years","category_beta_5years","fund_beta_10years","category_beta_10years","fund_mean_annual_return_3years","category_mean_annual_return_3years","fund_mean_annual_return_5years","category_mean_annual_return_5years","fund_mean_annual_return_10years","category_mean_annual_return_10years","fund_r_squared_3years","category_r_squared_3years","fund_r_squared_5years","category_r_squared_5years","fund_r_squared_10years","category_r_squared_10years","fund_standard_deviation_3years","category_standard_deviation_3years","fund_standard_deviation_5years","category_standard_deviation_5years","fund_standard_deviation_10years","category_standard_deviation_10years","fund_sharpe_ratio_3years","category_sharpe_ratio_3years","fund_sharpe_ratio_5years","category_sharpe_ratio_5years","fund_sharpe_ratio_10years","category_sharpe_ratio_10years","fund_treynor_ratio_3years","category_treynor_ratio_3years","fund_treynor_ratio_5years","category_treynor_ratio_5years","fund_treynor_ratio_10years","category_treynor_ratio_10years","NumOfSector","highest"
"584","MFEHX","MFS Growth Fund Class R3","Large Growth","MFS",2.096e+10,17.67,0,4,2005-03-31,"Growth","Large","USD",0.92,1.06,2.26,97.74,0,0,0,0,"26.83",5.77,"4.71","18.2","115,006.41",2.71,14.19,14.04,0.11,5.26,15.62,0,2.91,0.42,13.39,31.36,NA,NA,0,0,0,0,0,0,0,0,0,4,17.67,15.67,3.45,2.12,17.67,15.67,14.55,10.71,17.74,15.35,13.35,11.26,17.35,15.94,2.34,-2.09,30.53,27.67,2.21,3.23,7.11,3.6,8.51,10,36.29,33.92,17.12,15.34,-0.62,-2.46,15.7,15.53,3,11,2,3.45,0.01,2.21,0,1.15,-0.01,1.04,0.01,1.01,0.01,1.01,0.01,1.43,0.01,1.11,0.01,1.42,0.01,79.69,0.84,83.88,0.86,88.44,0.88,12.49,0.13,12.39,0.13,13.7,0.14,1.27,0.01,1.02,0.01,1.21,0.01,"15.85",0.13,"12.4",0.1,"16.66",0.15,10,"technology"
"585","MFEIX","MFS Growth Fund Class I","Large Growth","MFS",2.096e+10,17.74,0.05,4,1997-01-01,"Growth","Large","USD",0.67,1.06,2.26,97.74,0,0,0,0,"26.83",5.77,"4.71","18.2","115,006.41",2.71,14.19,14.04,0.11,5.26,15.62,0,2.91,0.42,13.39,31.36,NA,NA,0,0,0,0,0,0,0,0,0,4,17.74,15.67,3.47,2.12,17.74,15.67,14.84,10.71,18.03,15.35,13.64,11.26,17.64,15.94,2.59,-2.09,30.86,27.67,2.46,3.23,7.38,3.6,8.77,10,36.61,33.92,17.34,15.34,-0.32,-2.46,15.96,15.53,3,16,5,3.7,0.01,2.46,0,1.4,-0.01,1.04,0.01,1.01,0.01,1.02,0.01,1.46,0.01,1.13,0.01,1.44,0.01,79.69,0.84,83.86,0.86,88.46,0.88,12.5,0.13,12.39,0.13,13.7,0.14,1.29,0.01,1.04,0.01,1.23,0.01,"16.13",0.13,"12.67",0.1,"16.94",0.15,10,"technology"
"586","MFEJX","MFS Growth Fund Class R4","Large Growth","MFS",2.096e+10,17.74,0.08,4,2005-03-31,"Growth","Large","USD",0.67,1.06,2.26,97.74,0,0,0,0,"26.83",5.77,"4.71","18.2","115,006.41",2.71,14.19,14.04,0.11,5.26,15.62,0,2.91,0.42,13.39,31.36,NA,NA,0,0,0,0,0,0,0,0,0,4,17.74,15.67,3.47,2.12,17.74,15.67,14.84,10.71,18.03,15.35,13.64,11.26,17.64,15.94,2.59,-2.09,30.88,27.67,2.46,3.23,7.37,3.6,8.78,10,36.63,33.92,17.39,15.34,-0.38,-2.46,15.97,15.53,3,11,2,3.7,0.01,2.46,0,1.4,-0.01,1.04,0.01,1.01,0.01,1.02,0.01,1.46,0.01,1.13,0.01,1.44,0.01,79.7,0.84,83.86,0.86,88.46,0.88,12.5,0.13,12.39,0.13,13.7,0.14,1.29,0.01,1.03,0.01,1.23,0.01,"16.13",0.13,"12.67",0.1,"16.94",0.15,10,"technology"
"587","MFEKX","MFS Growth Fund Class R6","Large Growth","MFS",2.096e+10,17.77,0.14,4,2011-08-25,"Growth","Large","USD",0.58,1.06,2.26,97.74,0,0,0,0,"26.83",5.77,"4.71","18.2","115,006.41",2.71,14.19,14.04,0.11,5.26,15.62,0,2.91,0.42,13.39,31.36,NA,NA,0,0,0,0,0,0,0,0,0,4,17.77,15.67,3.47,2.12,17.77,15.67,14.95,10.71,18.14,15.35,13.75,11.26,17.42,15.94,2.68,-2.09,30.99,27.67,2.55,3.23,7.49,3.6,8.88,10,36.74,33.92,17.39,15.34,NA,-2.46,NA,NA,3,7,NA,3.8,0.01,2.56,0,1.23,-0.01,1.04,0.01,1.01,0.01,1.01,0.01,1.46,0.01,1.14,0.01,1.42,0.01,79.71,0.84,83.88,0.86,88.42,0.88,12.49,0.13,12.39,0.13,13.69,0.14,1.3,0.01,1.04,0.01,1.22,0.01,"16.24",0.13,"12.78",0.1,"16.75",0.15,10,"technology"
"588","MFELX","MFS Growth Fund Class R1","Large Growth","MFS",2.096e+10,17.44,0,4,2005-03-31,"Growth","Large","USD",1.67,1.06,2.26,97.74,0,0,0,0,"26.83",5.77,"4.71","18.2","115,006.41",2.71,14.19,14.04,0.11,5.26,15.62,0,2.91,0.42,13.39,31.36,NA,NA,0,0,0,0,0,0,0,0,0,3,17.44,15.67,3.38,2.12,17.44,15.67,13.69,10.71,16.86,15.35,12.51,11.26,16.47,15.94,1.58,-2.09,29.56,27.67,1.45,3.23,6.29,3.6,7.7,10,35.26,33.92,16.24,15.34,-1.39,-2.46,14.83,15.53,3,11,2,2.7,0.01,1.46,0,0.4,-0.01,1.04,0.01,1.01,0.01,1.01,0.01,1.37,0.01,1.05,0.01,1.36,0.01,79.68,0.84,83.86,0.86,88.46,0.88,12.48,0.13,12.38,0.13,13.68,0.14,1.21,0.01,0.95,0.01,1.16,0.01,"15.02",0.13,"11.57",0.1,"15.81",0.15,10,"technology"
"589","MFGFX","MassMutual Select Fundamental Growth Fund Class R4","Large Growth","MassMutual",137150000,16.23,0.12,3,2014-03-31,"Growth","Large","USD",1.23,1.06,0.71,99.29,0,0,0,0,"24.74",5.8,"4.29","17.06","98,289.21",0.47,16.51,13.37,0,2.26,11.29,0,2.81,0,13.09,40.21,NA,NA,0,0,0,0,0,0,0,0,0,3,16.23,15.67,3.22,2.12,16.23,15.67,13.35,10.71,15.39,15.35,12.24,11.26,17.37,15.94,0.1,-2.09,27.13,27.67,3.3,3.23,5.89,3.6,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,1.68,0.01,1.18,0,0.83,-0.01,1.01,0.01,1.01,0.01,1.04,0.01,1.26,0.01,1.03,0.01,1.42,0.01,87.45,0.84,90.28,0.86,88.28,0.88,11.57,0.13,11.9,0.13,14.04,0.14,1.19,0.01,0.97,0.01,1.18,0.01,"14.01",0.13,"11.33",0.1,"16.28",0.15,8,"technology"
"590","MFGIX","Monteagle Quality Growth Fund Class I","Large Growth","Monteagle Funds",21250000,12.44,0.38,1,1998-03-29,"Growth","Large","USD",1.3,1.06,4.46,95.54,0,0,0,0,"16.67",3.29,"1.31","11.62","103,312.44",3.72,15.09,6.19,0.16,7.02,11.79,0.19,2.89,5.36,13.78,33.79,NA,NA,0,0,0,0,0,0,0,0,0,1,12.44,15.67,2.11,2.12,12.44,15.67,2.91,10.71,10.35,15.35,8.82,11.26,12.77,15.94,-8.73,-2.09,24.6,27.67,6.27,3.23,0.06,3.6,9.78,10,26.7,33.92,11.54,15.34,-1.11,-2.46,16.68,15.53,2,14,6,-3.39,0.01,-1.96,0,-2.6,-0.01,1.05,0.01,1.01,0.01,0.99,0.01,0.88,0.01,0.76,0.01,1.08,0.01,93.73,0.84,94.55,0.86,94.16,0.88,11.68,0.13,11.6,0.13,12.95,0.14,0.79,0.01,0.72,0.01,0.96,0.01,"8.59",0.13,"7.94",0.1,"12.44",0.15,11,"technology"
"591","MFOCX","Marsico Focus Fund","Large Growth","Marsico Investment Fund",564520000,15.89,0,3,1997-12-30,"Growth","Large","USD",1.14,1.06,3.19,96.81,0,0,0,0,"25.03",6.8,"3.54","18.6","202,789.44",4.45,20.58,19.8,0,2.97,13.7,0,0,0,8.94,29.55,NA,NA,0,0,0,0,0,0,0,0,0,3,15.89,15.67,1.48,2.12,15.89,15.67,9.28,10.71,15.05,15.35,10.68,11.26,15.43,15.94,0.48,-2.09,33.99,27.67,-6.85,3.23,1.43,3.6,11.39,10,38.11,33.92,11.75,15.34,-2.65,-2.46,18.31,15.53,4,15,6,0.56,0.01,-0.43,0,-1.46,-0.01,1.1,0.01,1.05,0.01,1.09,0.01,1.26,0.01,0.93,0.01,1.3,0.01,70.77,0.84,74.61,0.86,83.4,0.88,14.04,0.13,13.61,0.13,15.15,0.14,0.98,0.01,0.76,0.01,1,0.01,"12.52",0.13,"9.41",0.1,"13.75",0.15,7,"technology"
"592","MGNDX","Praxis Growth Index Fund Class A","Large Growth","Praxis Mutual Funds",289190000,14.74,0.79,3,2007-04-30,"Growth","Large","USD",0.85,1.06,0.4,99.06,0.54,0,0,0,"21.23",4.71,"3.13","11.1","120,532.69",2.06,14.75,10.81,2.21,5.29,18.13,1.91,3.83,2.96,8.96,29.09,NA,NA,0,0,0,0,0,0,0,0,0,3,14.74,15.67,3.01,2.12,14.74,15.67,13.16,10.71,15.49,15.35,12.79,11.26,16.29,15.94,-0.05,-2.09,26.28,27.67,7.15,3.23,3.7,3.6,14.26,10,31.72,33.92,17.15,15.34,1.12,-2.46,13.2,15.53,2,9,2,1.64,0.01,1.5,0,0.58,-0.01,1.02,0.01,1.03,0.01,0.98,0.01,1.26,0.01,1.07,0.01,1.33,0.01,91.73,0.84,94.74,0.86,95.14,0.88,11.39,0.13,11.81,0.13,12.81,0.14,1.21,0.01,1.02,0.01,1.21,0.01,"13.99",0.13,"11.68",0.1,"16.1",0.15,11,"technology"
"593","MGRIX","Marsico Growth Fund","Large Growth","Marsico Investment Fund",258550000,16.56,0,2,1997-12-30,"Growth","Large","USD",1.44,1.06,5,95,0,0,0,0,"24.93",4.86,"3.5","18.5","169,446.62",3.38,22.01,13.32,3.35,2.46,13.99,0,0,0,12.37,29.12,NA,NA,0,0,0,0,0,0,0,0,0,2,16.56,15.67,2.82,2.12,16.56,15.67,8.9,10.71,14.87,15.35,9.78,11.26,15.05,15.94,-0.84,-2.09,31.11,27.67,-5.08,3.23,0.83,3.6,8.71,10,35.24,33.92,12.57,15.34,-0.94,-2.46,19.19,15.53,4,14,7,0.36,0.01,-1.33,0,-1.9,-0.01,1.09,0.01,1.05,0.01,1.1,0.01,1.23,0.01,0.85,0.01,1.27,0.01,78.88,0.84,80.74,0.86,86.61,0.88,13.25,0.13,13.11,0.13,14.94,0.14,1.02,0.01,0.72,0.01,0.99,0.01,"12.4",0.13,"8.54",0.1,"13.33",0.15,8,"technology"
"594","MGRPX","Morgan Stanley Institutional Fund, Inc. Growth Portfolio Class IS","Large Growth","Morgan Stanley",6.79e+09,19.48,0,5,2013-09-12,"Growth","Large","USD",0.54,1.06,1.07,95.92,0,0.5,2.51,0,"38.66",8.39,"6.83","27.3","38,943.38",0,20.42,0,0,0,17.14,0,0,0,3.55,58.88,NA,NA,0,0,0,0,0,0,0,0,0,5,19.48,15.67,1.39,2.12,19.48,15.67,17.3,10.71,24.43,15.35,16.94,11.26,21.49,15.94,7.74,-2.09,43.98,27.67,-1.83,3.23,11.97,3.6,6.6,10,NA,33.92,NA,NA,NA,NA,NA,NA,5,4,1,8.87,0.01,4.85,0,3.63,-0.01,1.09,0.01,1.11,0.01,1.12,0.01,1.94,0.01,1.42,0.01,1.75,0.01,53.35,0.84,60.75,0.86,69.5,0.88,16.09,0.13,15.96,0.13,16.99,0.14,1.37,0.01,1.02,0.01,1.21,0.01,"21.16",0.13,"14.53",0.1,"18.87",0.15,4,"technology"
"595","MGRSX","MassMutual Select Growth Opportunities Fund Class R5","Large Growth","MassMutual",577710000,16.79,0,4,2000-04-27,"Growth","Large","USD",0.84,1.06,3.14,96.86,0,0,0,0,"29.09",4.49,"3.85","17.23","82,055.17",0,18.26,15.23,3.32,7.77,15.54,0,3.58,0,1.37,34.93,NA,NA,0,0,0,0,0,0,0,0,0,4,16.79,15.67,1.46,2.12,16.79,15.67,12.89,10.71,16.93,15.35,11.04,11.26,18.38,15.94,2.33,-2.09,31.45,27.67,-6.42,3.23,3.94,3.6,10.7,10,38.28,33.92,19.86,15.34,4.82,-2.46,20.27,15.53,4,13,5,1.69,0.01,-0.86,0,1.14,-0.01,1.15,0.01,1.14,0.01,1.09,0.01,1.4,0.01,0.96,0.01,1.51,0.01,72.07,0.84,77.33,0.86,82.16,0.88,14.54,0.13,14.49,0.13,15.23,0.14,1.06,0.01,0.74,0.01,1.16,0.01,"13.62",0.13,"9",0.1,"16.48",0.15,8,"technology"
"596","MGTIX","MFS Massachusetts Investors Growth Stock Fund Class I","Large Growth","MFS",7.21e+09,17.68,1.04,4,1997-01-01,"Growth","Large","USD",0.48,1.06,1.14,98.86,0,0,0,0,"21.84",5.45,"3.46","15.05","89,139.48",5.26,15.05,13.88,0,8.18,12.84,0,2.15,0.1,13.61,28.92,NA,NA,0,0,0,0,0,0,0,0,0,4,17.68,15.67,3.58,2.12,17.68,15.67,16.61,10.71,16.41,15.35,12.62,11.26,16.85,15.94,1.04,-2.09,28.98,27.67,6.41,3.23,0.2,3.6,11.78,10,30.51,33.92,17.17,15.34,1.58,-2.46,14.56,15.53,2,17,4,2.94,0.01,1.64,0,0.78,-0.01,0.97,0.01,1,0.01,1.01,0.01,1.32,0.01,1.05,0.01,1.38,0.01,89.08,0.84,91.88,0.86,92.97,0.88,11.06,0.13,11.63,0.13,13.25,0.14,1.32,0.01,1.02,0.01,1.21,0.01,"15.58",0.13,"11.88",0.1,"16.3",0.15,9,"technology"
"597","MIGBX","MFS Massachusetts Investors Growth Stock Fund Class B","Large Growth","MFS",7.21e+09,17.4,0.22,3,1993-09-06,"Growth","Large","USD",1.48,1.06,1.14,98.86,0,0,0,0,"21.84",5.45,"3.46","15.05","89,139.48",5.26,15.05,13.88,0,8.18,12.84,0,2.15,0.1,13.61,28.92,NA,NA,0,0,0,0,0,0,0,0,0,3,17.4,15.67,3.49,2.12,17.4,15.67,15.47,10.71,15.27,15.35,11.5,11.26,15.69,15.94,0.07,-2.09,27.66,27.67,5.37,3.23,-0.76,3.6,10.64,10,29.23,33.92,15.97,15.34,0.58,-2.46,13.44,15.53,2,19,6,1.94,0.01,0.64,0,-0.24,-0.01,0.97,0.01,1,0.01,1.01,0.01,1.24,0.01,0.97,0.01,1.29,0.01,89.09,0.84,91.84,0.86,92.99,0.88,11.06,0.13,11.64,0.13,13.26,0.14,1.23,0.01,0.93,0.01,1.14,0.01,"14.4",0.13,"10.75",0.1,"15.14",0.15,9,"technology"
"598","MIGDX","MFS Massachusetts Investors Growth Stock Fund Class C","Large Growth","MFS",7.21e+09,17.38,0,3,1997-11-02,"Growth","Large","USD",1.48,1.06,1.14,98.86,0,0,0,0,"21.84",5.45,"3.46","15.05","89,139.48",5.26,15.05,13.88,0,8.18,12.84,0,2.15,0.1,13.61,28.92,NA,NA,0,0,0,0,0,0,0,0,0,3,17.38,15.67,3.47,2.12,17.38,15.67,15.42,10.71,15.26,15.35,11.49,11.26,15.68,15.94,0.06,-2.09,27.67,27.67,5.34,3.23,-0.75,3.6,10.59,10,29.25,33.92,16,15.34,0.58,-2.46,13.41,15.53,2,16,5,1.93,0.01,0.64,0,-0.24,-0.01,0.97,0.01,0.99,0.01,1.01,0.01,1.24,0.01,0.97,0.01,1.29,0.01,89.08,0.84,91.87,0.86,92.96,0.88,11.06,0.13,11.63,0.13,13.26,0.14,1.23,0.01,0.93,0.01,1.14,0.01,"14.39",0.13,"10.75",0.1,"15.13",0.15,9,"technology"
"599","MIGFX","MFS Massachusetts Investors Growth Stock Fund Class A","Large Growth","MFS",7.21e+09,17.61,0.85,4,1934-12-31,"Growth","Large","USD",0.73,1.06,1.14,98.86,0,0,0,0,"21.84",5.45,"3.46","15.05","89,139.48",5.26,15.05,13.88,0,8.18,12.84,0,2.15,0.1,13.61,28.92,NA,NA,0,0,0,0,0,0,0,0,0,3,17.61,15.67,3.55,2.12,17.61,15.67,16.31,10.71,16.13,15.35,12.34,11.26,16.55,15.94,0.77,-2.09,28.69,27.67,6.16,3.23,-0.04,3.6,11.53,10,30.15,33.92,16.91,15.34,1.32,-2.46,14.18,15.53,2,63,20,2.69,0.01,1.39,0,0.51,-0.01,0.97,0.01,1,0.01,1.01,0.01,1.3,0.01,1.03,0.01,1.36,0.01,89.02,0.84,91.82,0.86,92.96,0.88,11.08,0.13,11.65,0.13,13.26,0.14,1.3,0.01,0.99,0.01,1.19,0.01,"15.28",0.13,"11.59",0.1,"15.99",0.15,9,"technology"
"600","MIGHX","MFS Massachusetts Investors Growth Stock Fund Class R3","Large Growth","MFS",7.21e+09,17.62,0.82,4,2005-03-31,"Growth","Large","USD",0.73,1.06,1.14,98.86,0,0,0,0,"21.84",5.45,"3.46","15.05","89,139.48",5.26,15.05,13.88,0,8.18,12.84,0,2.15,0.1,13.61,28.92,NA,NA,0,0,0,0,0,0,0,0,0,3,17.62,15.67,3.55,2.12,17.62,15.67,16.3,10.71,16.12,15.35,12.34,11.26,16.55,15.94,0.78,-2.09,28.66,27.67,6.12,3.23,-0.02,3.6,11.49,10,30.16,33.92,16.9,15.34,1.33,-2.46,14.3,15.53,2,11,2,2.67,0.01,1.38,0,0.51,-0.01,0.97,0.01,1,0.01,1.01,0.01,1.3,0.01,1.03,0.01,1.36,0.01,89.01,0.84,91.85,0.86,92.95,0.88,11.08,0.13,11.64,0.13,13.26,0.14,1.3,0.01,0.99,0.01,1.19,0.01,"15.26",0.13,"11.59",0.1,"15.98",0.15,9,"technology"
"601","MIGKX","MFS Massachusetts Investors Growth Stock Fund Class R4","Large Growth","MFS",7.21e+09,17.69,1.05,4,2005-03-31,"Growth","Large","USD",0.48,1.06,1.14,98.86,0,0,0,0,"21.84",5.45,"3.46","15.05","89,139.48",5.26,15.05,13.88,0,8.18,12.84,0,2.15,0.1,13.61,28.92,NA,NA,0,0,0,0,0,0,0,0,0,4,17.69,15.67,3.56,2.12,17.69,15.67,16.59,10.71,16.4,15.35,12.61,11.26,16.84,15.94,1.01,-2.09,28.98,27.67,6.41,3.23,0.2,3.6,11.77,10,30.47,33.92,17.27,15.34,1.6,-2.46,14.49,15.53,2,12,1,2.91,0.01,1.64,0,0.78,-0.01,0.97,0.01,1,0.01,1.01,0.01,1.32,0.01,1.05,0.01,1.38,0.01,89,0.84,91.77,0.86,92.96,0.88,11.09,0.13,11.64,0.13,13.25,0.14,1.32,0.01,1.02,0.01,1.21,0.01,"15.54",0.13,"11.87",0.1,"16.3",0.15,9,"technology"
"602","MIGMX","MFS Massachusetts Investors Growth Stock Fund Class R1","Large Growth","MFS",7.21e+09,17.36,0.29,3,2005-03-31,"Growth","Large","USD",1.48,1.06,1.14,98.86,0,0,0,0,"21.84",5.45,"3.46","15.05","89,139.48",5.26,15.05,13.88,0,8.18,12.84,0,2.15,0.1,13.61,28.92,NA,NA,0,0,0,0,0,0,0,0,0,3,17.36,15.67,3.44,2.12,17.36,15.67,15.43,10.71,15.24,15.35,11.49,11.26,15.68,15.94,0.06,-2.09,27.66,27.67,5.35,3.23,-0.79,3.6,10.68,10,29.21,33.92,15.99,15.34,0.59,-2.46,13.46,15.53,2,11,2,1.92,0.01,0.62,0,-0.24,-0.01,0.97,0.01,1,0.01,1.01,0.01,1.24,0.01,0.97,0.01,1.29,0.01,88.98,0.84,91.82,0.86,92.99,0.88,11.07,0.13,11.64,0.13,13.25,0.14,1.23,0.01,0.93,0.01,1.14,0.01,"14.38",0.13,"10.74",0.1,"15.14",0.15,9,"technology"
"603","MIGNX","MFS Massachusetts Investors Growth Stock Fund Class R6","Large Growth","MFS",7.21e+09,17.71,1.13,4,2012-05-31,"Growth","Large","USD",0.38,1.06,1.14,98.86,0,0,0,0,"21.84",5.45,"3.46","15.05","89,139.48",5.26,15.05,13.88,0,8.18,12.84,0,2.15,0.1,13.61,28.92,NA,NA,0,0,0,0,0,0,0,0,0,4,17.71,15.67,3.54,2.12,17.71,15.67,16.68,10.71,16.52,15.35,12.72,11.26,16.81,15.94,1.1,-2.09,29.13,27.67,6.51,3.23,0.32,3.6,11.89,10,30.63,33.92,NA,15.34,NA,NA,NA,NA,2,6,NA,3.01,0.01,1.73,0,0.74,-0.01,0.97,0.01,1,0.01,1.01,0.01,1.33,0.01,1.06,0.01,1.38,0.01,89.02,0.84,91.83,0.86,92.94,0.88,11.08,0.13,11.65,0.13,13.26,0.14,1.33,0.01,1.02,0.01,1.21,0.01,"15.66",0.13,"11.97",0.1,"16.26",0.15,9,"technology"
"604","MIIFX","Monteagle Informed Investor Growth Fund Class I","Large Growth","Monteagle Funds",10470000,5.72,0.03,1,2008-04-02,"Growth","Large","USD",1.44,1.06,57.26,42.74,0,0,0,0,"32.2",10.49,"4.98","21.51","25,286.86",14.77,12.29,6.04,0,0,9,0,0,0,0,57.9,NA,NA,0,0,0,0,0,0,0,0,0,1,5.72,15.67,0.23,2.12,5.72,15.67,6.4,10.71,8.89,15.35,7.16,11.26,11.04,15.94,-0.09,-2.09,16.53,27.67,5.74,3.23,6.3,3.6,-1.22,10,31.21,33.92,10.7,15.34,-15.35,-2.46,14.94,15.53,3,7,3,0.1,0.01,-0.2,0,-1.74,-0.01,0.64,0.01,0.68,0.01,0.86,0.01,0.76,0.01,0.63,0.01,0.98,0.01,43.27,0.84,44.99,0.86,46.36,0.88,10.44,0.13,11.38,0.13,16,0.14,0.74,0.01,0.6,0.01,0.71,0.01,"11.88",0.13,"9.31",0.1,"12.34",0.15,5,"technology"
"605","MINVX","Madison Investors Fund Class Y","Large Growth","Madison Funds",303390000,13.58,0.62,3,1978-10-31,"Growth","Large","USD",0.95,1.06,4.42,95.58,0,0,0,0,"19.21",3.26,"1.5","13.52","47,164.78",8.46,20.94,18.55,0,4.2,14.59,0,4.38,0,8.56,20.32,NA,NA,0,0,0,0,0,0,0,0,0,3,13.58,15.67,2.84,2.12,13.58,15.67,14.86,10.71,14.24,15.35,11.27,11.26,15.46,15.94,-0.2,-2.09,22.51,27.67,12.97,3.23,0.23,3.6,11.54,10,29.08,33.92,14.05,15.34,-0.01,-2.46,10.44,15.53,1,31,9,2.74,0.01,2.02,0,1.19,-0.01,0.81,0.01,0.82,0.01,0.89,0.01,1.15,0.01,0.93,0.01,1.26,0.01,91.74,0.84,89.74,0.86,92.25,0.88,9.12,0.13,9.68,0.13,11.73,0.14,1.37,0.01,1.07,0.01,1.25,0.01,"15.93",0.13,"12.78",0.1,"16.91",0.15,8,"consumer_cyclical"
"606","MIRGX","MFS Massachusetts Investors Growth Stock Fund Class R2","Large Growth","MFS",7.21e+09,17.51,0.48,3,2003-10-30,"Growth","Large","USD",0.98,1.06,1.14,98.86,0,0,0,0,"21.84",5.45,"3.46","15.05","89,139.48",5.26,15.05,13.88,0,8.18,12.84,0,2.15,0.1,13.61,28.92,NA,NA,0,0,0,0,0,0,0,0,0,3,17.51,15.67,3.51,2.12,17.51,15.67,16.03,10.71,15.82,15.35,12.05,11.26,16.26,15.94,0.56,-2.09,28.29,27.67,5.91,3.23,-0.32,3.6,11.22,10,29.86,33.92,16.61,15.34,1.07,-2.46,13.98,15.53,2,13,2,2.41,0.01,1.12,0,0.25,-0.01,0.97,0.01,1,0.01,1.01,0.01,1.28,0.01,1.01,0.01,1.34,0.01,89.11,0.84,91.87,0.86,93,0.88,11.08,0.13,11.64,0.13,13.27,0.14,1.27,0.01,0.97,0.01,1.17,0.01,"14.95",0.13,"11.29",0.1,"15.69",0.15,9,"technology"
"607","MLAAX","MainStay Large Cap Growth Fund Class A","Large Growth","MainStay",1.173e+10,17.51,0,4,1995-07-02,"Growth","Large","USD",0.98,1.06,0,99.35,0,0.65,0,0,"27.36",7.64,"4.03","19.31","127,452.89",2.71,19.13,14.13,1.18,0,19.79,0,1,0,11.18,30.89,NA,NA,0,0,0,0,0,0,0,0,0,4,17.51,15.67,2.49,2.12,17.51,15.67,14.61,10.71,18.37,15.35,13.12,11.26,16.29,15.94,3.46,-2.09,32.15,27.67,-2.62,3.23,5.93,3.6,10.32,10,36.53,33.92,12.9,15.34,-0.48,-2.46,15.2,15.53,4,17,6,3.22,0.01,1.14,0,-0.96,-0.01,1.11,0.01,1.12,0.01,1.11,0.01,1.49,0.01,1.11,0.01,1.36,0.01,78.31,0.84,81.86,0.86,86.77,0.88,13.51,0.13,13.81,0.13,15.08,0.14,1.23,0.01,0.91,0.01,1.05,0.01,"15.36",0.13,"11.04",0.1,"14.33",0.15,8,"technology"
"608","MLABX","MainStay Large Cap Growth Fund Class B","Large Growth","MainStay",1.173e+10,17.16,0,3,2005-03-31,"Growth","Large","USD",1.82,1.06,0,99.35,0,0.65,0,0,"27.36",7.64,"4.03","19.31","127,452.89",2.71,19.13,14.13,1.18,0,19.79,0,1,0,11.18,30.89,NA,NA,0,0,0,0,0,0,0,0,0,3,17.16,15.67,2.43,2.12,17.16,15.67,13.56,10.71,17.39,15.35,12.21,11.26,15.33,15.94,2.69,-2.09,31.02,27.67,-3.41,3.23,5.07,3.6,9.42,10,35.51,33.92,12.11,15.34,-1.4,-2.46,14.46,15.53,4,10,3,2.45,0.01,0.32,0,-1.78,-0.01,1.11,0.01,1.12,0.01,1.1,0.01,1.42,0.01,1.04,0.01,1.29,0.01,78.02,0.84,81.88,0.86,86.71,0.88,13.46,0.13,13.82,0.13,15.06,0.14,1.17,0.01,0.85,0.01,1,0.01,"14.56",0.13,"10.22",0.1,"13.47",0.15,8,"technology"
